id,title,body_html,vendor,product_type,created_at,handle,updated_at,published_at,published_scope,tags,status,admin_graphql_api_id,image__id,image__position,image__product_id,image__created_at,image__updated_at,image__admin_graphql_api_id,image__width,image__height,image__src,_dlt_load_id,_dlt_id
9599857033536,VANS |AUTHENTIC | LO PRO | BURGANDY/WHITE,"The forefather of the Vans family, the original Vans Authentic was introduced in 1966 and nearly 4 decades later is still going strong, its popularity extending from the original fans - skaters and surfers to all sorts. Now remodeled into a low top lace-up with a slim silhouette, the Vans Authentic Lo Pro features sturdy canvas uppers with lower sidewalls, metal eyelets, and low profile mini waffle outsoles for a lightweight feel.",VANS,SHOES,2024-09-23 12:16:12-04,vans-authentic-lo-pro-burgandy-white,2024-09-23 12:19:02-04,2024-09-23 12:16:12-04,global,"egnition-sample-data, men, sale, summer, vans",active,gid://shopify/Product/9599857033536,46139569799488,1,9599857033536,2024-09-23 12:16:13-04,2024-09-23 12:16:13-04,gid://shopify/ProductImage/46139569799488,635,560,https://cdn.shopify.com/s/files/1/0894/9868/1664/files/9f190cba7218c819c81566bca6298c6a.jpg?v=1727108172,1727109934.638963,JqxHrOtD8JR2wg
9599857328448,ASICS TIGER | GEL-LYTE V '30 YEARS OF GEL' PACK,"The iconic ASICS Tiger GEL-Lyte III was originally released in 1990. Having over two decades of performance heritage, it offers fine design detailing and a padded split tongue to eliminate tongue movement, built on a sleek silhouette. It comes as no surprise the Gel-Lyte III is a fast growing popular choice for sneaker enthusiasts all over the world.",ASICS TIGER,SHOES,2024-09-23 12:16:45-04,asics-tiger-gel-lyte-v-30-years-of-gel-pack,2024-09-23 12:19:07-04,2024-09-23 12:16:45-04,global,"asics-tiger, autumn, egnition-sample-data, men, spring",active,gid://shopify/Product/9599857328448,46139573666112,1,9599857328448,2024-09-23 12:16:45-04,2024-09-23 12:16:45-04,gid://shopify/ProductImage/46139573666112,635,560,https://cdn.shopify.com/s/files/1/0894/9868/1664/files/343bfbfc1a10a39a528a3d34367669c2.jpg?v=1727108205,1727109934.638963,lQ4GlfszsKeTSw
9599857754432,VANS | OLD SKOOL (BUTTERFLY) TRUE WHITE | BLACK,"Vans are a staple in skate culture and street style, and this skate sneaker is no exception. Introduced in 1977, the Vans Old Skool sneaker is a classic in the Vans collection. Full of attitude, the Old Skool is durable and lightweight, and can give the other boys in the collection a run for its money. Constructed from canvas, The Vans Old Skool features contrasting suede panels along the toe and heel, plus the iconic stripe along the side of the shoe, and sits over a chunky midsole.",VANS,SHOES,2024-09-23 12:17:18-04,vans-old-skool-butterfly-true-white-black,2024-09-23 12:19:11-04,2024-09-23 12:17:18-04,global,"egnition-sample-data, men, summer, vans",active,gid://shopify/Product/9599857754432,46139577106752,1,9599857754432,2024-09-23 12:17:18-04,2024-09-23 12:17:18-04,gid://shopify/ProductImage/46139577106752,635,560,https://cdn.shopify.com/s/files/1/0894/9868/1664/files/cd759395d74526f72c3b0c43c91b4220.jpg?v=1727108238,1727109934.638963,sFUTVsvmWD2xRA
9599857787200,VANS | CLASSIC SLIP-ON (PERFORATED SUEDE),"The Perforated Suede Classic Slip-On features low profile slip-on perforated suede uppers,, padded collars, elastic side accents, and signature rubber waffle outsoles.",VANS,SHOES,2024-09-23 12:17:24-04,vans-classic-slip-on-perforated-suede,2024-09-23 12:19:12-04,2024-09-23 12:17:24-04,global,"egnition-sample-data, men, summer, vans",active,gid://shopify/Product/9599857787200,46139577696576,1,9599857787200,2024-09-23 12:17:24-04,2024-09-23 12:17:24-04,gid://shopify/ProductImage/46139577696576,635,560,https://cdn.shopify.com/s/files/1/0894/9868/1664/files/d0fb461a3a28439eb5a45b2e2fb232bb.jpg?v=1727108244,1727109934.638963,KFSSNw4v4cc5ew
9599857918272,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH,"Make a statement with the iconic Dr Marten's 1461Z DMC 3-Eye shoe. Stamped with Docs trademade look, this lace-up shoe is crafted with high-quality, durable smooth leather, and has been made to last. This unique shoe features an air-cushioned sole offering good abrasion and slip resistance, and is made with Goodyear welt - the sole and upper are heat-sealed and sewn together.",DR MARTENS,SHOES,2024-09-23 12:17:40-04,dr-martens-1461-dmc-3-eye-shoe-black-smooth,2024-09-23 12:19:24-04,2024-09-23 12:17:40-04,global,"autumn, drmartens, egnition-sample-data, spring, women",active,gid://shopify/Product/9599857918272,46139580186944,1,9599857918272,2024-09-23 12:17:40-04,2024-09-23 12:17:40-04,gid://shopify/ProductImage/46139580186944,635,560,https://cdn.shopify.com/s/files/1/0894/9868/1664/files/141e61b24821f6212219a381ed19ac8a.jpg?v=1727108260,1727109934.638963,12VBJkFYBVOAiQ
9599857983808,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK,"Make a statement with the Dr Marten's Cavendish 3-Eye shoe. Stamped with Docs trademade look, this lace-up shoe is crafted with high-quality, durable smooth leather, and has been made to last. This unique shoe features an air-cushioned sole offering good abrasion and slip resistance, and is made with Goodyear welt - the sole and upper are heat-sealed and sewn together.",DR MARTENS,SHOES,2024-09-23 12:17:45-04,dr-martens-cavendish-3-eye-shoe-black,2024-09-23 12:19:24-04,2024-09-23 12:17:45-04,global,"autumn, drmartens, egnition-sample-data, women",active,gid://shopify/Product/9599857983808,46139581727040,1,9599857983808,2024-09-23 12:17:45-04,2024-09-23 12:17:45-04,gid://shopify/ProductImage/46139581727040,635,560,https://cdn.shopify.com/s/files/1/0894/9868/1664/files/8d7a6c39d295441c940cb2bacfd34794.jpg?v=1727108265,1727109934.638963,8iejjkXwDY8Yjw
9599858344256,ADIDAS | KID'S STAN SMITH,"The Stan Smith owned the tennis court in the '70s. Today it runs the streets with the same clean, classic style. These kids' shoes preserve the iconic look of the original, made in leather with punched 3-Stripes, heel and tongue logos and lightweight step-in cushioning.",ADIDAS,SHOES,2024-09-23 12:18:19-04,adidas-kids-stan-smith,2024-09-23 12:19:40-04,2024-09-23 12:18:19-04,global,"adidas, egnition-sample-data, kid",active,gid://shopify/Product/9599858344256,46139587297600,1,9599858344256,2024-09-23 12:18:19-04,2024-09-23 12:18:19-04,gid://shopify/ProductImage/46139587297600,635,560,https://cdn.shopify.com/s/files/1/0894/9868/1664/files/7883dc186e15bf29dad696e1e989e914.jpg?v=1727108299,1727109934.638963,SizdyNAjoYlfYw
9599858377024,VANS APPAREL AND ACCESSORIES | CLASSIC SUPER NO SHOW SOCKS 3 PACK WHITE,The classic super no show socks are for all your low top shoes like Classic Slip-Ons. These socks are designed to stay hidden under your shoes for an athletic look with either jeans or shorts. Thin walled breathable cotton/nylon blend.,VANS,ACCESSORIES,2024-09-23 12:18:22-04,vans-apparel-and-accessories-classic-super-no-show-socks-3-pack-white,2024-09-23 12:19:40-04,2024-09-23 12:18:22-04,global,"egnition-sample-data, unisex, vans",active,gid://shopify/Product/9599858377024,46139587658048,1,9599858377024,2024-09-23 12:18:22-04,2024-09-23 12:18:22-04,gid://shopify/ProductImage/46139587658048,635,560,https://cdn.shopify.com/s/files/1/0894/9868/1664/files/ccba62c19289e4b5f14b180c05836614.jpg?v=1727108302,1727109934.638963,JZovuSrinuvnyQ
9599858573632,NIKE | SWOOSH PRO FLAT PEAK CAP,The Nike Swoosh Pro Flat Snapback features an embroidered logo for style and wool construction with an adjustable closure for a comfortable fit.,NIKE,ACCESSORIES,2024-09-23 12:18:36-04,nike-swoosh-pro-flat-peak-cap,2024-09-23 12:19:46-04,2024-09-23 12:18:36-04,global,"cap, egnition-sample-data, nike",active,gid://shopify/Product/9599858573632,46139589460288,1,9599858573632,2024-09-23 12:18:36-04,2024-09-23 12:18:36-04,gid://shopify/ProductImage/46139589460288,635,560,https://cdn.shopify.com/s/files/1/0894/9868/1664/files/58262e66c5e9731050280eb16880d5a4.jpg?v=1727108316,1727109934.638963,NSGjeOy+k0d01A
9599858475328,FLEX FIT | MINI OTTOMAN BLACK,Flexfit Mini Ottoman Cap,FLEX FIT,ACCESSORIES,2024-09-23 12:18:31-04,flex-fit-mini-ottoman-black,2024-09-23 12:19:47-04,2024-09-23 12:18:31-04,global,"egnition-sample-data, flex-fit, men",active,gid://shopify/Product/9599858475328,46139588477248,1,9599858475328,2024-09-23 12:18:31-04,2024-09-23 12:18:31-04,gid://shopify/ProductImage/46139588477248,635,560,https://cdn.shopify.com/s/files/1/0894/9868/1664/files/6170fd62b8ebee856d0cbdeac874abfd.jpg?v=1727108311,1727109934.638963,FCaReXK1GcInyA
